,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1,acne,blackheads,whiteheads,scarring,inflamed_skin
2,acne,blackheads,oily_skin,cysts,scarring
3,acne,whiteheads,red_bumps,oily_skin,scarring
4,acne,whiteheads,red_bumps,pimples,cysts
5,acne,whiteheads,pimples,scarring,inflamed_skin
6,acne,red_bumps,oily_skin,pimples,inflamed_skin
7,acne,whiteheads,oily_skin,pimples,cysts
8,acne,red_bumps,oily_skin,pimples,scarring
9,acne,whiteheads,cysts,scarring,inflamed_skin
10,acne,blackheads,whiteheads,red_bumps,oily_skin
11,acne,blackheads,whiteheads,red_bumps,inflamed_skin
12,acne,whiteheads,red_bumps,scarring,inflamed_skin
13,acne,pimples,cysts,scarring,inflamed_skin
14,acne,whiteheads,red_bumps,pimples,inflamed_skin
15,acne,blackheads,pimples,cysts,inflamed_skin
16,acne,blackheads,oily_skin,cysts,inflamed_skin
17,acne,blackheads,oily_skin,pimples,scarring
18,acne,whiteheads,oily_skin,scarring,inflamed_skin
19,acne,whiteheads,oily_skin,pimples,scarring
20,acne,blackheads,whiteheads,oily_skin,cysts
21,acne,blackheads,whiteheads,red_bumps,pimples
22,acne,blackheads,whiteheads,red_bumps,scarring
23,acne,red_bumps,oily_skin,cysts,inflamed_skin
24,acne,whiteheads,oily_skin,cysts,scarring
25,acne,blackheads,red_bumps,pimples,scarring
26,acne,whiteheads,red_bumps,oily_skin,inflamed_skin
27,acne,whiteheads,red_bumps,oily_skin,pimples
28,acne,blackheads,red_bumps,scarring,inflamed_skin
29,acne,blackheads,red_bumps,cysts,inflamed_skin
30,acne,blackheads,red_bumps,oily_skin,pimples
31,acne,whiteheads,red_bumps,cysts,inflamed_skin
32,acne,whiteheads,pimples,cysts,scarring
33,acne,blackheads,whiteheads,pimples,cysts
34,acne,blackheads,pimples,cysts,scarring
35,acne,blackheads,red_bumps,cysts,scarring
36,acne,blackheads,pimples,scarring,inflamed_skin
37,acne,whiteheads,red_bumps,pimples,scarring
38,acne,blackheads,whiteheads,oily_skin,pimples
39,acne,oily_skin,pimples,cysts,scarring
40,acne,blackheads,oily_skin,pimples,cysts
41,acne,blackheads,oily_skin,pimples,inflamed_skin
42,acne,red_bumps,oily_skin,pimples,cysts
43,acne,blackheads,whiteheads,pimples,inflamed_skin
44,acne,red_bumps,pimples,scarring,inflamed_skin
45,acne,blackheads,red_bumps,pimples,inflamed_skin
46,acne,red_bumps,cysts,scarring,inflamed_skin
47,acne,blackheads,red_bumps,pimples,cysts
48,acne,red_bumps,pimples,cysts,scarring
49,acne,whiteheads,oily_skin,pimples,inflamed_skin
50,acne,whiteheads,pimples,cysts,inflamed_skin
51,acne,oily_skin,pimples,cysts,inflamed_skin
52,acne,blackheads,whiteheads,oily_skin,inflamed_skin
53,acne,whiteheads,red_bumps,cysts,scarring
54,acne,oily_skin,cysts,scarring,inflamed_skin
55,acne,red_bumps,pimples,cysts,inflamed_skin
56,acne,blackheads,whiteheads,cysts,inflamed_skin
57,acne,blackheads,red_bumps,oily_skin,scarring
58,acne,oily_skin,pimples,scarring,inflamed_skin
59,acne,red_bumps,oily_skin,scarring,inflamed_skin
60,acne,whiteheads,oily_skin,cysts,inflamed_skin
61,acne,blackheads,red_bumps,oily_skin,inflamed_skin
62,acne,blackheads,oily_skin,scarring,inflamed_skin
63,acne,red_bumps,oily_skin,cysts,scarring
64,acne,blackheads,whiteheads,cysts,scarring
65,acne,blackheads,cysts,scarring,inflamed_skin
66,acne,blackheads,whiteheads,oily_skin,scarring
67,acne,blackheads,whiteheads,pimples,scarring
68,acne,blackheads,whiteheads,red_bumps,cysts
69,acne,blackheads,red_bumps,oily_skin,cysts
70,acne,whiteheads,red_bumps,oily_skin,cysts
71,actinic_keratosis,crusty_lesions,itching,thin_skin,dryness
72,actinic_keratosis,rough_patches,red_spots,thin_skin,dryness
73,actinic_keratosis,scaly_skin,red_spots,sun_exposure,red_patches
74,actinic_keratosis,red_spots,sun_exposure,itching,thin_skin
75,actinic_keratosis,red_spots,sun_exposure,crusty_lesions,thin_skin
76,actinic_keratosis,rough_patches,scaly_skin,itching,thin_skin
77,actinic_keratosis,red_spots,sun_exposure,thin_skin,dryness
78,actinic_keratosis,scaly_skin,red_spots,itching,red_patches
79,actinic_keratosis,scaly_skin,red_spots,sun_exposure,dryness
80,actinic_keratosis,scaly_skin,itching,red_patches,dryness
81,actinic_keratosis,scaly_skin,sun_exposure,red_patches,thin_skin
82,actinic_keratosis,red_spots,sun_exposure,itching,dryness
83,actinic_keratosis,rough_patches,red_spots,sun_exposure,dryness
84,actinic_keratosis,sun_exposure,crusty_lesions,thin_skin,dryness
85,actinic_keratosis,rough_patches,red_spots,crusty_lesions,dryness
86,actinic_keratosis,sun_exposure,crusty_lesions,itching,red_patches
87,actinic_keratosis,rough_patches,crusty_lesions,itching,thin_skin
88,actinic_keratosis,scaly_skin,red_spots,thin_skin,dryness
89,actinic_keratosis,crusty_lesions,itching,red_patches,thin_skin
90,actinic_keratosis,scaly_skin,sun_exposure,crusty_lesions,itching
91,actinic_keratosis,scaly_skin,crusty_lesions,itching,dryness
